"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
295 "Disk" "McMinnville" 0 5 2 0.0202472903786152 -1.07362464970182
296 "Ellipsoid" "McMinnville" 0 5 2 -0.173222144898447 -1.03456450192192
297 "Disk" "Lindenberg" 0 5 2 -0.198021504576837 -0.892814124370789
298 "Ellipsoid" "Lindenberg" 0 5 2 -0.286758668990255 -0.85325481185113
299 "Disk" "Croker river" 0 5 2 -0.937240696742537 0.293457099999137
300 "Ellipsoid" "Croker river" 0 5 2 -0.439326577744531 0.106167812530667
301 "Disk" "Phillip SW Belize" 0.2 10 2 0.351564831544894 -1.02259983248164
302 "Ellipsoid" "Phillip SW Belize" 0.2 10 2 0.4355059301243 -1.15650799702664
303 "Disk" "Lake Charles" 0.2 10 2 0.424575475597396 -0.783191896353585
304 "Ellipsoid" "Lake Charles" 0.2 10 2 0.278448096859264 -0.751548260091508
305 "Disk" "McMinnville" 0.2 10 2 0.117925599709206 -0.296614765635866
306 "Ellipsoid" "McMinnville" 0.2 10 2 0.0344512841448984 -0.405286981462291
307 "Disk" "Lindenberg" 0.2 10 2 -0.0391902830207839 -0.0436821257028132
308 "Ellipsoid" "Lindenberg" 0.2 10 2 -0.0533926727883645 -0.200379752556384
309 "Disk" "Croker river" 0.2 10 2 -0.547709457660711 0.844876705785966
310 "Ellipsoid" "Croker river" 0.2 10 2 -0.242398652891525 0.489464548210753
311 "Disk" "Phillip SW Belize" 0.15 10 2 0.335075327772492 -1.08098284612832
312 "Ellipsoid" "Phillip SW Belize" 0.15 10 2 0.427355727090091 -1.24911978184217
313 "Disk" "Lake Charles" 0.15 10 2 0.441189388197084 -0.849751515451755
314 "Ellipsoid" "Lake Charles" 0.15 10 2 0.272625619263198 -0.828593241355737
315 "Disk" "McMinnville" 0.15 10 2 0.140089123534164 -0.345430034939158
316 "Ellipsoid" "McMinnville" 0.15 10 2 0.0247740239526453 -0.468601803014502
317 "Disk" "Lindenberg" 0.15 10 2 -0.0287953654113036 -0.071398778553593
318 "Ellipsoid" "Lindenberg" 0.15 10 2 -0.0674859793885704 -0.245449957940619
319 "Disk" "Croker river" 0.15 10 2 -0.597670037816288 0.904357334069007
320 "Ellipsoid" "Croker river" 0.15 10 2 -0.263110621569199 0.52543605096402
321 "Disk" "Phillip SW Belize" 0.1 10 2 0.305174255967093 -1.13162362253939
322 "Ellipsoid" "Phillip SW Belize" 0.1 10 2 0.407899901089935 -1.34138248351604
323 "Disk" "Lake Charles" 0.1 10 2 0.452964179837752 -0.914887427280549
324 "Ellipsoid" "Lake Charles" 0.1 10 2 0.259911741941953 -0.908402212676949
