"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
111 "Disk" "Phillip SW Belize" 0.15 15 1 "low" 0.301161193657136
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 "high" 0.195155450118617
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 "intermediate" 0.500312148832563
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 "low" 0.30453240104882
113 "Disk" "Lake Charles" 0.15 15 1 "high" 0.183293794481209
113 "Disk" "Lake Charles" 0.15 15 1 "intermediate" 0.513672118866275
113 "Disk" "Lake Charles" 0.15 15 1 "low" 0.303034086652516
114 "Ellipsoid" "Lake Charles" 0.15 15 1 "high" 0.19290797852416
114 "Ellipsoid" "Lake Charles" 0.15 15 1 "intermediate" 0.491322262454738
114 "Ellipsoid" "Lake Charles" 0.15 15 1 "low" 0.315769759021101
115 "Disk" "McMinnville" 0.15 15 1 "high" 0.116618803845674
115 "Disk" "McMinnville" 0.15 15 1 "intermediate" 0.553876888500437
115 "Disk" "McMinnville" 0.15 15 1 "low" 0.329504307653889
116 "Ellipsoid" "McMinnville" 0.15 15 1 "high" 0.122986640029966
116 "Ellipsoid" "McMinnville" 0.15 15 1 "intermediate" 0.52078911224872
116 "Ellipsoid" "McMinnville" 0.15 15 1 "low" 0.356224247721314
117 "Disk" "Lindenberg" 0.15 15 1 "high" 0.106130603071545
117 "Disk" "Lindenberg" 0.15 15 1 "intermediate" 0.548133349981271
117 "Disk" "Lindenberg" 0.15 15 1 "low" 0.345736046947184
118 "Ellipsoid" "Lindenberg" 0.15 15 1 "high" 0.111374703458609
118 "Ellipsoid" "Lindenberg" 0.15 15 1 "intermediate" 0.532276189287052
