pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-199",176,52.217,Disk,5,0
"-199",114,52.217,Disk,5,0
"-199",-45,52.217,Disk,5,0
"-199",175,52.217,Disk,5,0
"-199",-65,52.217,Disk,5,0
"-199",13,52.217,Disk,5,0
"-199",-180,52.217,Disk,5,0
"-199",-11,52.217,Disk,5,0
"-199",115,52.217,Disk,5,0
"-199",-35,52.217,Disk,5,0
"-199",-137,52.217,Disk,5,0
"-199",155,52.217,Disk,5,0
"-199",-25,52.217,Disk,5,0
"-199",-163,52.217,Disk,5,0
"-199",16,52.217,Disk,5,0
"-199",-154,52.217,Disk,5,0
"-199",-123,52.217,Disk,5,0
"-199",66,52.217,Disk,5,0
"-199",136,52.217,Disk,5,0
"-199",-7,52.217,Disk,5,0
"-199",-109,52.217,Disk,5,0
"-199",-126,52.217,Disk,5,0
"-199",3,52.217,Disk,5,0
"-199",118,52.217,Disk,5,0
"-199",-61,52.217,Disk,5,0
"-199",145,52.217,Disk,5,0
"-199",30,52.217,Disk,5,0
"-199",191,52.217,Disk,5,0
"-199",-86,52.217,Disk,5,0
"-199",68,52.217,Disk,5,0
"-199",83,52.217,Disk,5,0
"-199",127,52.217,Disk,5,0
"-199",-194,52.217,Disk,5,0
"-199",146,52.217,Disk,5,0
"-199",-189,52.217,Disk,5,0
"-199",75,52.217,Disk,5,0
"-199",-46,52.217,Disk,5,0
"-199",-184,52.217,Disk,5,0
"-199",-21,52.217,Disk,5,0
"-199",5,52.217,Disk,5,0
"-199",188,52.217,Disk,5,0
"-199",-83,52.217,Disk,5,0
"-199",-72,52.217,Disk,5,0
"-199",-54,52.217,Disk,5,0
"-199",-121,52.217,Disk,5,0
"-199",29,52.217,Disk,5,0
"-199",94,52.217,Disk,5,0
"-199",-56,52.217,Disk,5,0
"-199",-33,52.217,Disk,5,0
"-199",167,52.217,Disk,5,0
"-199",182,52.217,Disk,5,0
"-199",25,52.217,Disk,5,0
"-199",-200,52.217,Disk,5,0
"-199",164,52.217,Disk,5,0
"-199",186,52.217,Disk,5,0
"-199",-144,52.217,Disk,5,0
"-199",-104,52.217,Disk,5,0
"-199",147,52.217,Disk,5,0
"-199",-152,52.217,Disk,5,0
"-199",100,52.217,Disk,5,0
"-199",-87,52.217,Disk,5,0
"-199",158,52.217,Disk,5,0
"-199",-66,52.217,Disk,5,0
"-199",139,52.217,Disk,5,0
"-199",-120,52.217,Disk,5,0
"-199",90,52.217,Disk,5,0
"-199",-19,52.217,Disk,5,0
"-199",112,52.217,Disk,5,0
"-199",-22,52.217,Disk,5,0
"-199",-42,52.217,Disk,5,0
"-199",-115,52.217,Disk,5,0
"-199",-159,52.217,Disk,5,0
"-199",138,52.217,Disk,5,0
"-199",-168,52.217,Disk,5,0
"-199",-34,52.217,Disk,5,0
"-199",-6,52.217,Disk,5,0
"-199",88,52.217,Disk,5,0
"-199",15,52.217,Disk,5,0
"-199",-160,52.217,Disk,5,0
"-199",-1,52.217,Disk,5,0
"-199",33,52.217,Disk,5,0
"-199",18,52.217,Disk,5,0
"-199",-9,52.217,Disk,5,0
"-199",113,52.217,Disk,5,0
"-199",-125,52.217,Disk,5,0
"-199",98,52.217,Disk,5,0
"-199",121,52.217,Disk,5,0
"-199",-139,52.217,Disk,5,0
"-199",93,52.217,Disk,5,0
"-199",80,52.217,Disk,5,0
"-199",-196,52.217,Disk,5,0
"-199",-100,52.217,Disk,5,0
"-199",193,52.217,Disk,5,0
"-199",-18,52.217,Disk,5,0
"-199",14,52.217,Disk,5,0
"-199",-90,52.217,Disk,5,0
"-199",70,52.217,Disk,5,0
"-199",-155,52.217,Disk,5,0
"-199",198,52.217,Disk,5,0
"-199",-190,52.217,Disk,5,0
"-199",108,52.217,Disk,5,0
"-199",-44,52.217,Disk,5,0
"-199",24,52.217,Disk,5,0
"-199",187,52.217,Disk,5,0
"-199",120,52.217,Disk,5,0
"-199",28,52.217,Disk,5,0
"-199",22,52.217,Disk,5,0
"-199",-62,52.217,Disk,5,0
"-199",131,52.217,Disk,5,0
"-199",52,52.217,Disk,5,0
"-199",-29,52.217,Disk,5,0
"-199",78,52.217,Disk,5,0
"-199",-169,52.217,Disk,5,0
"-199",179,52.217,Disk,5,0
"-199",200,52.217,Disk,5,0
"-199",-195,52.217,Disk,5,0
"-199",-136,52.217,Disk,5,0
"-199",-50,52.217,Disk,5,0
"-199",-135,52.217,Disk,5,0
"-199",-107,52.217,Disk,5,0
"-199",6,52.217,Disk,5,0
"-199",177,52.217,Disk,5,0
"-199",-110,52.217,Disk,5,0
"-199",-14,52.217,Disk,5,0
"-199",64,52.217,Disk,5,0
"-199",-98,52.217,Disk,5,0
"-199",-131,52.217,Disk,5,0
"-199",161,52.217,Disk,5,0
"-199",-103,52.217,Disk,5,0
"-199",-157,52.217,Disk,5,0
"-199",140,52.217,Disk,5,0
"-199",109,52.217,Disk,5,0
"-199",38,52.217,Disk,5,0
"-199",197,52.217,Disk,5,0
"-199",152,52.217,Disk,5,0
"-199",137,52.217,Disk,5,0
"-199",-70,52.217,Disk,5,0
"-199",-128,52.217,Disk,5,0
"-199",53,52.217,Disk,5,0
"-199",-15,52.217,Disk,5,0
"-199",134,52.217,Disk,5,0
"-199",-59,52.217,Disk,5,0
"-199",-146,52.217,Disk,5,0
"-199",27,52.217,Disk,5,0
"-199",125,52.217,Disk,5,0
"-199",-172,52.217,Disk,5,0
"-199",-187,52.217,Disk,5,0
"-199",85,52.217,Disk,5,0
"-199",-51,52.217,Disk,5,0
"-199",-138,52.217,Disk,5,0
"-199",-142,52.217,Disk,5,0
"-199",87,52.217,Disk,5,0
"-199",21,52.217,Disk,5,0
"-199",-24,52.217,Disk,5,0
"-199",-124,52.217,Disk,5,0
"-199",169,52.217,Disk,5,0
"-199",-43,52.217,Disk,5,0
"-199",39,52.217,Disk,5,0
"-199",7,52.217,Disk,5,0
"-199",-39,52.217,Disk,5,0
"-199",76,52.217,Disk,5,0
"-199",84,52.217,Disk,5,0
"-199",-117,52.217,Disk,5,0
"-199",-188,52.217,Disk,5,0
"-199",79,52.217,Disk,5,0
"-199",192,52.217,Disk,5,0
"-199",89,52.217,Disk,5,0
